url,title,content,tag
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line with expectations on Thursday and confirmed its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
https://www.reuters.com/article/clariant-results-idUSZ8N1IS01Y,"Clariant keeps full year guidance after meeting forecasts in H1","ZURICH, July 27 Swiss chemicals group Clariant , which is carrying out a $20 billion merger with U.S. peer Huntsman reported first half operating profit in line wi its guidance for the year.","markets"
